年齢,性別,身長,体重,今の時間帯,空いた時間,食べたカロリー,これから食べるカロリー,食べれたか
31,女性,175.10934600048802,62.78206792863355,2023-08-26 00:45:53,15.696414791388712,1066.3638954217558,681.1454350646856,0
22,男性,189.2608889393274,70.99508204965773,2023-08-25 03:54:40,16.631558888814414,1078.6963041089489,1933.879765221752,0
43,女性,178.90744566256257,83.24808196732332,2023-08-25 11:04:15,12.949555863187614,439.3965020867644,1573.2231002061008,0
42,男性,189.76116117369668,62.27830742126132,2023-08-25 04:10:09,11.28972005434207,151.0313189858392,3182.7877170576644,0
29,女性,178.8029029504971,82.43337721011125,2023-08-25 12:30:06,11.721844608703908,752.2395452611672,1494.5472338978116,0
70,女性,156.1551350726523,46.88468912385482,2023-08-25 08:59:59,15.881621474396969,64.8572955804731,1314.9147168005688,0
76,女性,150.49090061113395,84.83956631425399,2023-08-25 03:33:24,5.325196988339683,619.1186656519279,1147.5807503144333,0
75,男性,181.395359486997,61.17556318191572,2023-08-25 22:38:01,8.343258911795852,416.100412394233,2499.143994164116,0
65,女性,160.93283395634552,65.63776769619415,2023-08-25 06:22:46,2.9934079326243523,1034.4508039984182,356.3903021459326,1
46,女性,153.34668386640647,82.76517447766714,2023-08-25 06:54:10,14.012841585479453,613.6176316104908,2312.628591574444,0
71,女性,151.99073222987806,46.59702960351062,2023-08-25 12:45:17,15.849400973583197,427.4828840889709,738.6198789097618,0
46,男性,158.2188762788851,70.7709151143214,2023-08-25 14:47:15,7.153614703409948,1135.4591689116778,1313.018556713001,0
69,男性,165.0915619070898,76.89722855565286,2023-08-25 12:19:13,17.321962007881105,1431.2957455770056,433.5214299053478,0
39,男性,160.72277106048844,67.4973602767221,2023-08-25 08:44:13,13.88462967452107,465.36441697592664,1549.3519573714311,0
58,女性,185.80897815272013,82.73059079338515,2023-08-25 22:27:46,10.053479126930794,1463.4038388408546,299.70784585715796,1
68,女性,160.12451683610786,48.849628289926365,2023-08-25 22:40:42,12.289256439378715,237.39441004459715,1147.5177016427815,0
73,女性,170.22436128359698,49.352798619719835,2023-08-25 03:46:20,9.423763271548598,112.48942995504436,1299.031577785104,0
65,女性,156.1969095569608,56.79928494573741,2023-08-25 07:14:37,9.435187635642544,642.676351585351,1130.0735921484224,0
42,女性,157.09510036649843,71.88181099639158,2023-08-25 07:10:44,1.5248488049327698,759.1783006406811,-333.13815329898637,1
61,男性,181.30826699783748,81.14875654026471,2023-08-25 07:52:39,4.002451938969511,320.1148787928646,1478.913684168275,1
27,女性,171.78209928664347,61.33625910114902,2023-08-25 11:48:09,15.39135210356072,98.10030907677563,2638.3542985724457,0
